Date,July_13_June_14_fw,July_14_June_15_fw
5/29/2013,42.17025743,
5/30/2013,41.69372734,
5/31/2013,40.98980504,
6/3/2013,40.85012522,
6/4/2013,40.63372398,
6/5/2013,40.59583716,
6/6/2013,40.61140222,
6/7/2013,39.89956521,
6/10/2013,39.84475832,
6/11/2013,39.68381742,
6/12/2013,39.31337958,
6/13/2013,39.6982089,
6/14/2013,39.24000319,
6/17/2013,39.44697112,
6/18/2013,39.67318487,
6/19/2013,39.87822716,
6/20/2013,39.77722684,
6/21/2013,39.51393949,
6/24/2013,38.97580757,
6/25/2013,38.57107449,
6/26/2013,38.67344825,
6/27/2013,38.25637613,
6/28/2013,37.80675711,
7/1/2013,,37.93675011
7/2/2013,,37.7554865
7/3/2013,,38.04417132
7/4/2013,,38.0950481
7/5/2013,,37.86882814
7/8/2013,,38.1086184
7/9/2013,,38.19137184
7/10/2013,,38.20518519
7/11/2013,,38.21497622
7/12/2013,,38.20987125
7/15/2013,,38.26255255
7/16/2013,,38.25531345
7/17/2013,,38.14631917
7/18/2013,,38.23021376
7/19/2013,,38.4255868
7/22/2013,,38.3832052
7/23/2013,,37.992607
7/24/2013,,38.13344842
7/25/2013,,38.02506769
7/26/2013,,37.96476031
7/29/2013,,37.57756326
7/30/2013,,37.16033147
7/31/2013,,36.95687385
8/1/2013,,37.08179382
8/2/2013,,36.89824914
8/5/2013,,36.77007313
8/6/2013,,36.80413445
8/7/2013,,36.70488417
8/8/2013,,36.6605439
8/9/2013,,36.58818919
8/12/2013,,36.53904167
8/13/2013,,36.79671909
8/14/2013,,36.81611664
8/15/2013,,37.01163109
8/16/2013,,37.22455007
8/19/2013,,37.16607308
8/20/2013,,37.28029577
8/21/2013,,37.29748613
8/22/2013,,37.41232276
8/23/2013,,37.46033577
8/26/2013,,37.36442352
8/27/2013,,37.37637821
8/28/2013,,37.38525378
8/29/2013,,37.43594942
8/30/2013,,37.43050274
9/2/2013,,38.23592677
9/3/2013,,37.47916818
9/4/2013,,37.72486819
9/5/2013,,37.74945314
9/6/2013,,37.46768107
9/9/2013,,37.39133978
9/10/2013,,37.58186758
9/11/2013,,37.51173853
9/12/2013,,37.58086057
9/13/2013,,37.62929097
9/16/2013,,37.75336971
9/17/2013,,37.76361653
9/18/2013,,37.7524098
9/19/2013,,37.73087211
9/20/2013,,37.64413509
9/23/2013,,37.67049188
9/24/2013,,37.517777
9/25/2013,,37.32972338
9/26/2013,,37.29329384
9/27/2013,,37.350105
9/30/2013,,37.38095881
10/1/2013,,37.35419228
10/2/2013,,37.49554558
10/3/2013,,37.58110587
10/4/2013,,37.30310322
10/7/2013,,37.27965859
10/8/2013,,37.71568101
10/9/2013,,37.72564805
10/10/2013,,37.70577511
10/11/2013,,37.75749779
10/14/2013,,37.92402609
10/15/2013,,37.88294412
10/16/2013,,37.78066888
10/17/2013,,37.67298227
10/18/2013,,37.6572965
10/21/2013,,37.50991741
10/22/2013,,37.35578009
10/23/2013,,37.09307962
10/24/2013,,37.17694221
10/25/2013,,37.20300977
10/28/2013,,37.28893897
10/29/2013,,36.98773027
10/30/2013,,36.94028301
10/31/2013,,36.87448892
11/1/2013,,36.72039345
11/4/2013,,36.5163701
11/5/2013,,35.81479898
11/6/2013,,36.44321822
11/7/2013,,36.4755578
11/8/2013,,36.55321257
11/11/2013,,36.56071106
11/12/2013,,36.54540598
11/13/2013,,36.54010528
11/14/2013,,36.31641765
11/15/2013,,36.35789299
